date,spy_open,spy_high,spy_low,spy_adj_close,spy_volume,log_return,umich_sentiment,vix,sent_vix_gap
2024-03-01,495.348246,499.542781,494.939481,499.114563,76844800,0.009344,79.4,13.7875,-0.723801
2024-03-04,498.316556,500.428422,498.287331,498.579285,49799300,-0.001073,79.4,13.7875,-0.723801
2024-03-05,496.574448,497.022149,491.387212,493.596405,72855600,-0.010044,79.4,13.7875,-0.723801
2024-03-06,496.876188,498.355497,494.80326,496.097626,68382400,0.005055,79.4,13.7875,-0.723801
2024-03-07,499.396747,502.073095,496.155917,501.022003,58652100,0.009877,79.4,13.7875,-0.723801
2024-03-08,501.654685,504.340715,497.440637,498.014832,86532500,-0.00602,79.4,13.7875,-0.723801
2024-03-11,496.808016,498.170515,494.881035,497.586578,62557200,-0.00086,79.4,13.7875,-0.723801
2024-03-12,499.6985,503.523238,497.177841,502.939331,73114400,0.0107,79.4,13.7875,-0.723801
2024-03-13,503.260422,503.435594,500.710597,502.15094,55104100,-0.001569,79.4,13.7875,-0.723801
2024-03-14,503.124153,503.279901,498.11212,501.158295,110171800,-0.001979,79.4,13.7875,-0.723801
2024-03-15,498.088048,499.542668,496.047707,497.717072,107646300,-0.00689,79.4,13.7875,-0.723801
2024-03-18,501.787978,503.232796,500.265044,500.675049,88893300,0.005925,79.4,13.7875,-0.723801
2024-03-19,499.981981,503.740486,498.976424,503.457397,60755300,0.005542,79.4,13.7875,-0.723801
2024-03-20,503.515925,508.250671,502.842317,508.113983,69594600,0.009207,79.4,13.7875,-0.723801
2024-03-21,510.954942,511.657808,509.510065,509.793213,60256100,0.003299,79.4,13.7875,-0.723801
2024-03-22,509.705333,510.193454,508.592404,508.826752,79070800,-0.001898,79.4,13.7875,-0.723801
2024-03-25,507.450185,508.572886,507.264697,507.420929,48512100,-0.002767,79.4,13.7875,-0.723801
2024-03-26,508.846221,509.187942,506.083501,506.483734,65463700,-0.001849,79.4,13.7875,-0.723801
2024-03-27,509.314899,510.779261,507.147612,510.740173,82999800,0.008369,79.4,13.7875,-0.723801
2024-03-28,510.779236,512.145938,510.359459,510.642548,96294900,-0.000191,79.4,13.7875,-0.723801
2024-04-01,511.384424,511.921345,508.592329,509.754059,62477500,-0.001741,77.2,16.137727,-0.510701
2024-04-02,505.927311,506.649721,504.209117,506.513092,74230300,-0.006378,77.2,16.137727,-0.510701
2024-04-03,505.419577,508.572877,505.370777,507.069427,59155800,0.001098,77.2,16.137727,-0.510701
2024-04-04,511.08186,511.423521,500.577495,500.880127,96858100,-0.012281,77.2,16.137727,-0.510701
2024-04-05,502.237053,508.074956,501.797732,506.112701,74546500,0.010393,77.2,16.137727,-0.510701
2024-04-08,506.815649,507.821147,505.585576,506.395813,48401800,0.000559,77.2,16.137727,-0.510701
2024-04-09,508.133617,508.377677,502.129709,506.981659,68049200,0.001156,77.2,16.137727,-0.510701
2024-04-10,501.280343,503.896662,499.923413,501.905151,82652800,-0.010064,77.2,16.137727,-0.510701
2024-04-11,503.428106,507.137811,499.913661,505.692993,70099000,0.007519,77.2,16.137727,-0.510701
2024-04-12,502.149219,503.56478,496.984894,498.71286,92561100,-0.013899,77.2,16.137727,-0.510701
2024-04-15,502.891185,503.05713,491.61558,492.464935,92101400,-0.012607,77.2,16.137727,-0.510701
2024-04-16,492.943276,494.46621,490.278127,491.566772,73484000,-0.001825,77.2,16.137727,-0.510701
2024-04-17,494.02692,494.192894,487.261575,488.657593,75910300,-0.005936,77.2,16.137727,-0.510701
2024-04-18,490.053583,492.152496,486.714825,487.652008,74548100,-0.00206,77.2,16.137727,-0.510701
2024-04-19,487.573941,488.569697,482.126498,483.39563,102212600,-0.008767,77.2,16.137727,-0.510701
2024-04-22,486.00218,490.444095,483.659207,487.84729,67961000,0.009167,77.2,16.137727,-0.510701
